"id","object_id","source_id","image_type","view_type","file_url"
"1","1","1","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/DP-1427-027.jpg"
"2","2","2","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/DP-1427-021.jpg"
"3","3","3","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/DP-1427-039.jpg"
"4","4","4","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/ap55.118.jpg"
"5","5","5","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/ap50.101.1.jpg"
"6","6","6","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/DP-32706-001.jpg"
"7","7","7","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/ap50.101.3.jpg"
"8","8","8","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/ap1971.70.jpg"
"9","9","9","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/ap1977.133.1.jpg"
"10","10","10","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/ap1970.9.16.jpg"
"11","11","11","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/TP563.jpg"
"12","12","12","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/DP230326.jpg"
"13","13","13","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/ap1992.161.jpg"
"14","14","14","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/264941.jpg"
"15","15","15","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/APS6628.jpg"
"16","16","16","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/257754.jpg"
"17","17","17","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/257756.jpg"
"18","18","18","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/261129.jpg"
"19","19","19","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/261130.jpg"
"20","20","20","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/261136.jpg"
"21","21","21","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/266538.jpg"
"22","22","22","Photograph","Primary","https://images.metmuseum.org/CRDImages/ad/original/DT4701.jpg"
"23","23","23","Photograph","Primary","https://images.metmuseum.org/CRDImages/aa/original/LC-2002_233_1a-001.jpg"
"24","24","24","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP154073.jpg"
"25","25","25","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP141300.jpg"
"26","26","26","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP275508.jpg"
"27","27","27","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DT7421.jpg"
"28","28","28","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP284318.jpg"
"29","29","29","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP153525.jpg"
"30","30","30","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP156911_CRD.jpg"
"31","31","31","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP147651.jpg"
"32","32","32","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP137000.jpg"
"33","33","33","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP130174.jpg"
"34","34","34","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP147708.jpg"
"35","35","35","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP136137.jpg"
"36","36","36","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP121554.jpg"
"37","37","37","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP205543.jpg"
"38","38","38","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/JIB88_004_crd.jpg"
"39","39","39","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP148973.jpg"
"40","40","40","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP148974.jpg"
"41","41","41","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP148971.jpg"
"42","42","42","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP148972.jpg"
"43","43","43","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP223709.jpg"
"44","44","44","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/10_211_2188_O1_sf.jpg"
"45","45","45","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP11389.jpg"
"46","46","46","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP147982.jpg"
"47","47","47","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP148027.jpg"
"48","48","48","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP148042.jpg"
"49","49","49","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP148081.jpg"
"50","50","50","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/DP148101.jpg"
"51","51","51","Photograph","Primary","https://images.metmuseum.org/CRDImages/as/original/LC-2011_142_001.jpg"
"52","52","52","Photograph","Primary","https://images.metmuseum.org/CRDImages/ci/original/20.46.jpg"
"53","53","53","Photograph","Primary","https://images.metmuseum.org/CRDImages/ci/original/50.40.6_CP4.jpg"
"54","54","54","Photograph","Primary","https://images.metmuseum.org/CRDImages/es/original/7252.jpg"
"55","55","55","Photograph","Primary","https://images.metmuseum.org/CRDImages/es/original/7252.jpg"
"56","56","56","Photograph","Primary","https://images.metmuseum.org/CRDImages/es/original/7252.jpg"
"57","57","57","Photograph","Primary","https://images.metmuseum.org/CRDImages/es/original/7252.jpg"
"58","58","58","Photograph","Primary","https://images.metmuseum.org/CRDImages/es/original/31535.jpg"
"59","59","59","Photograph","Primary","https://images.metmuseum.org/CRDImages/es/original/121928.jpg"